year,stateabbr,state,county,measure,data_value,low_confidence_limit,high_confidence_limit
2023,AK,Alaska,Anchorage,Arthritis among adults,21.9,19.8,24.1
2023,AK,Alaska,Anchorage,High blood pressure among adults,36.1,33.3,39.2
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,6.9,6.2,7.8
2023,AK,Alaska,Anchorage,Independent living disability among adults,9.8,8.7,11.2
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,16.7,15.0,18.7
2023,AK,Alaska,Anchorage,Any disability among adults,23.2,19.9,27.5
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,67.4,64.0,70.6
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,15.5,13.7,17.6
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,22.5,20.6,24.7
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,78.3,76.0,80.8
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,9.9,8.8,11.3
2023,AK,Alaska,Anchorage,Mobility disability among adults,10.3,8.8,11.9
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,27.4,24.6,30.4
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,13.1,11.5,14.8
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.4,4.0,4.9
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,5.8,5.1,6.7
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,9.4,8.1,10.8
2023,AK,Alaska,Anchorage,Binge drinking among adults,16.9,14.8,19.4
2023,AK,Alaska,Anchorage,Cognitive disability among adults,10.1,8.6,12.0
2023,AK,Alaska,Anchorage,Self-care disability among adults,2.6,2.3,3.0
2023,AK,Alaska,Anchorage,Hearing disability among adults,5.9,5.3,6.6
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,14.9,12.8,17.3
2023,AK,Alaska,Anchorage,Independent living disability among adults,5.1,4.3,6.0
2023,AK,Alaska,Anchorage,Depression among adults,22.4,19.9,25.2
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,16.5,14.3,19.2
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,70.0,67.3,72.9
2023,AK,Alaska,Anchorage,Obesity among adults,29.3,25.7,33.3
