date,respondent,respondent_name,type,type_name,value,unit
2021-10-07,CAL,California,NG,Net generation,567752,megawatthours
2021-10-07,CAL,California,NG,Net generation,567709,megawatthours
2021-10-07,CAL,California,TI,Total interchange,-147660,megawatthours
2021-10-07,CAL,California,TI,Total interchange,-149584,megawatthours
2021-10-07,CAL,California,TI,Total interchange,-150692,megawatthours
2021-10-07,CAL,California,TI,Total interchange,-148622,megawatthours
2021-10-07,CAL,California,TI,Total interchange,-147660,megawatthours
2021-10-08,CAL,California,D,Demand,701982,megawatthours
2021-10-08,CAL,California,D,Demand,703678,megawatthours
2021-10-08,CAL,California,D,Demand,705226,megawatthours
2021-10-08,CAL,California,D,Demand,702615,megawatthours
2021-10-08,CAL,California,D,Demand,701982,megawatthours
2021-10-08,CAL,California,DF,Day-ahead demand forecast,696433,megawatthours
2021-10-08,CAL,California,DF,Day-ahead demand forecast,697853,megawatthours
2021-10-08,CAL,California,DF,Day-ahead demand forecast,699242,megawatthours
2021-10-08,CAL,California,DF,Day-ahead demand forecast,696983,megawatthours
2021-10-08,CAL,California,DF,Day-ahead demand forecast,696433,megawatthours
2021-10-08,CAL,California,NG,Net generation,552084,megawatthours
2021-10-08,CAL,California,NG,Net generation,552373,megawatthours
2021-10-08,CAL,California,NG,Net generation,552717,megawatthours
2021-10-08,CAL,California,NG,Net generation,552452,megawatthours
2021-10-08,CAL,California,NG,Net generation,552084,megawatthours
2021-10-08,CAL,California,TI,Total interchange,-135196,megawatthours
2021-10-08,CAL,California,TI,Total interchange,-137029,megawatthours
2021-10-08,CAL,California,TI,Total interchange,-137607,megawatthours
2021-10-08,CAL,California,TI,Total interchange,-136057,megawatthours
2021-10-08,CAL,California,TI,Total interchange,-135196,megawatthours
2021-10-09,CAL,California,D,Demand,637680,megawatthours
2021-10-09,CAL,California,D,Demand,640355,megawatthours
2021-10-09,CAL,California,D,Demand,641656,megawatthours
2021-10-09,CAL,California,D,Demand,639037,megawatthours
2021-10-09,CAL,California,D,Demand,637680,megawatthours
2021-10-09,CAL,California,DF,Day-ahead demand forecast,619866,megawatthours
2021-10-09,CAL,California,DF,Day-ahead demand forecast,623255,megawatthours
2021-10-09,CAL,California,DF,Day-ahead demand forecast,625162,megawatthours
2021-10-09,CAL,California,DF,Day-ahead demand forecast,621506,megawatthours
2021-10-09,CAL,California,DF,Day-ahead demand forecast,619866,megawatthours
2021-10-09,CAL,California,NG,Net generation,487801,megawatthours
2021-10-09,CAL,California,NG,Net generation,492245,megawatthours
2021-10-09,CAL,California,NG,Net generation,494578,megawatthours
2021-10-09,CAL,California,NG,Net generation,489850,megawatthours
2021-10-09,CAL,California,NG,Net generation,487801,megawatthours
2021-10-09,CAL,California,TI,Total interchange,-141349,megawatthours
2021-10-09,CAL,California,TI,Total interchange,-138447,megawatthours
2021-10-09,CAL,California,TI,Total interchange,-137524,megawatthours
2021-10-09,CAL,California,TI,Total interchange,-139898,megawatthours
2021-10-09,CAL,California,TI,Total interchange,-141349,megawatthours
2021-10-10,CAL,California,D,Demand,625388,megawatthours
2021-10-10,CAL,California,D,Demand,625495,megawatthours
2021-10-10,CAL,California,D,Demand,625100,megawatthours
2021-10-10,CAL,California,D,Demand,625571,megawatthours
2021-10-10,CAL,California,D,Demand,625388,megawatthours
2021-10-10,CAL,California,DF,Day-ahead demand forecast,602294,megawatthours
2021-10-10,CAL,California,DF,Day-ahead demand forecast,602735,megawatthours
2021-10-10,CAL,California,DF,Day-ahead demand forecast,602566,megawatthours
2021-10-10,CAL,California,DF,Day-ahead demand forecast,602587,megawatthours
2021-10-10,CAL,California,DF,Day-ahead demand forecast,602294,megawatthours
2021-10-10,CAL,California,NG,Net generation,472101,megawatthours
2021-10-10,CAL,California,NG,Net generation,470542,megawatthours
2021-10-10,CAL,California,NG,Net generation,469082,megawatthours
2021-10-10,CAL,California,NG,Net generation,471503,megawatthours
2021-10-10,CAL,California,NG,Net generation,472101,megawatthours
2021-10-10,CAL,California,TI,Total interchange,-144997,megawatthours
2021-10-10,CAL,California,TI,Total interchange,-147449,megawatthours
2021-10-10,CAL,California,TI,Total interchange,-148745,megawatthours
2021-10-10,CAL,California,TI,Total interchange,-146187,megawatthours
2021-10-10,CAL,California,TI,Total interchange,-144997,megawatthours
2021-10-11,CAL,California,D,Demand,672424,megawatthours
2021-10-11,CAL,California,D,Demand,671447,megawatthours
2021-10-11,CAL,California,D,Demand,670809,megawatthours
2021-10-11,CAL,California,D,Demand,671981,megawatthours
2021-10-11,CAL,California,D,Demand,672424,megawatthours
2021-10-11,CAL,California,DF,Day-ahead demand forecast,665671,megawatthours
2021-10-11,CAL,California,DF,Day-ahead demand forecast,663744,megawatthours
2021-10-11,CAL,California,DF,Day-ahead demand forecast,662408,megawatthours
2021-10-11,CAL,California,DF,Day-ahead demand forecast,664761,megawatthours
2021-10-11,CAL,California,DF,Day-ahead demand forecast,665671,megawatthours
2021-10-11,CAL,California,NG,Net generation,536012,megawatthours
2021-10-11,CAL,California,NG,Net generation,534136,megawatthours
2021-10-11,CAL,California,NG,Net generation,532968,megawatthours
2021-10-11,CAL,California,NG,Net generation,535210,megawatthours
2021-10-11,CAL,California,NG,Net generation,536012,megawatthours
2021-10-11,CAL,California,TI,Total interchange,-127947,megawatthours
2021-10-11,CAL,California,TI,Total interchange,-129294,megawatthours
2021-10-11,CAL,California,TI,Total interchange,-129883,megawatthours
2021-10-11,CAL,California,TI,Total interchange,-128472,megawatthours
2021-10-11,CAL,California,TI,Total interchange,-127947,megawatthours
2021-10-12,CAL,California,D,Demand,671794,megawatthours
2021-10-12,CAL,California,D,Demand,671319,megawatthours
2021-10-12,CAL,California,D,Demand,671052,megawatthours
2021-10-12,CAL,California,D,Demand,671527,megawatthours
2021-10-12,CAL,California,D,Demand,671794,megawatthours
2021-10-12,CAL,California,DF,Day-ahead demand forecast,665773,megawatthours
2021-10-12,CAL,California,DF,Day-ahead demand forecast,665154,megawatthours
2021-10-12,CAL,California,DF,Day-ahead demand forecast,664909,megawatthours
2021-10-12,CAL,California,DF,Day-ahead demand forecast,665509,megawatthours
2021-10-12,CAL,California,DF,Day-ahead demand forecast,665773,megawatthours
2021-10-12,CAL,California,NG,Net generation,548222,megawatthours
2021-10-12,CAL,California,NG,Net generation,547478,megawatthours
2021-10-12,CAL,California,NG,Net generation,547103,megawatthours
2021-10-12,CAL,California,NG,Net generation,547969,megawatthours
2021-10-12,CAL,California,NG,Net generation,548222,megawatthours
2021-10-12,CAL,California,TI,Total interchange,-117572,megawatthours
2021-10-12,CAL,California,TI,Total interchange,-118006,megawatthours
2021-10-12,CAL,California,TI,Total interchange,-118106,megawatthours
2021-10-12,CAL,California,TI,Total interchange,-117882,megawatthours
2021-10-12,CAL,California,TI,Total interchange,-117572,megawatthours
2021-10-13,CAL,California,D,Demand,687476,megawatthours
2021-10-13,CAL,California,D,Demand,687016,megawatthours
2021-10-13,CAL,California,D,Demand,686909,megawatthours
2021-10-13,CAL,California,D,Demand,687231,megawatthours
