date,base,quote,rate
2022-07-12,USD,KRW,1309.6
2022-07-13,USD,KRW,1302.67
2022-07-14,USD,KRW,1321.63
2022-07-15,USD,KRW,1325.97
2022-07-18,USD,KRW,1316.09
2022-07-19,USD,KRW,1308.28
2022-07-20,USD,KRW,1311.51
2022-07-21,USD,KRW,1311.37
2022-07-22,USD,KRW,1310.76
2022-07-25,USD,KRW,1310.33
2022-07-26,USD,KRW,1310.4
2022-07-27,USD,KRW,1314.02
2022-07-28,USD,KRW,1304.53
2022-07-29,USD,KRW,1303.59
2022-08-01,USD,KRW,1302.94
2022-08-02,USD,KRW,1309.82
2022-08-03,USD,KRW,1310.6
2022-08-04,USD,KRW,1309.99
2022-08-05,USD,KRW,1294.37
2022-08-08,USD,KRW,1303.98
2022-08-09,USD,KRW,1306.18
2022-08-10,USD,KRW,1311.12
2022-08-11,USD,KRW,1300.66
2022-08-12,USD,KRW,1305.39
2022-08-15,USD,KRW,1310.79
2022-08-16,USD,KRW,1312.47
2022-08-17,USD,KRW,1315.45
2022-08-18,USD,KRW,1321.29
2022-08-19,USD,KRW,1336.17
2022-08-22,USD,KRW,1344.08
2022-08-23,USD,KRW,1341.9
2022-08-24,USD,KRW,1341.7
2022-08-25,USD,KRW,1335.99
2022-08-26,USD,KRW,1332.53
2022-08-29,USD,KRW,1349.36
2022-08-30,USD,KRW,1346.34
2022-08-31,USD,KRW,1342.79
2022-09-01,USD,KRW,1353.15
2022-09-02,USD,KRW,1361.79
2022-09-05,USD,KRW,1370.95
2022-09-06,USD,KRW,1376.56
2022-09-07,USD,KRW,1390.43
2022-09-08,USD,KRW,1380.46
2022-09-09,USD,KRW,1377.89
2022-09-12,USD,KRW,1376.25
2022-09-13,USD,KRW,1373.27
2022-09-14,USD,KRW,1393.36
2022-09-15,USD,KRW,1398.3
2022-09-16,USD,KRW,1389.97
2022-09-19,USD,KRW,1393.21
2022-09-20,USD,KRW,1392.66
2022-09-21,USD,KRW,1394.49
2022-09-22,USD,KRW,1401.04
2022-09-23,USD,KRW,1416.82
2022-09-26,USD,KRW,1430.02
2022-09-27,USD,KRW,1420.63
2022-09-28,USD,KRW,1441.55
2022-09-29,USD,KRW,1430.39
2022-09-30,USD,KRW,1436.9
2022-10-03,USD,KRW,1442.29
2022-10-04,USD,KRW,1427.76
2022-10-05,USD,KRW,1418.77
2022-10-06,USD,KRW,1408.1
2022-10-07,USD,KRW,1410.04
2022-10-10,USD,KRW,1427.51
2022-10-11,USD,KRW,1432.52
2022-10-12,USD,KRW,1426.6
2022-10-13,USD,KRW,1430.03
2022-10-14,USD,KRW,1439.23
2022-10-17,USD,KRW,1436.91
2022-10-18,USD,KRW,1424.42
2022-10-19,USD,KRW,1430.1
2022-10-20,USD,KRW,1427.28
2022-10-21,USD,KRW,1443.29
2022-10-24,USD,KRW,1439.85
2022-10-25,USD,KRW,1437.48
2022-10-26,USD,KRW,1418.85
2022-10-27,USD,KRW,1423.3
2022-10-28,USD,KRW,1424.68
2022-10-31,USD,KRW,1428.4
2022-11-01,USD,KRW,1412.11
2022-11-02,USD,KRW,1415.03
2022-11-03,USD,KRW,1427.0
2022-11-04,USD,KRW,1415.82
2022-11-07,USD,KRW,1392.22
2022-11-08,USD,KRW,1378.49
2022-11-09,USD,KRW,1364.41
2022-11-10,USD,KRW,1380.31
2022-11-11,USD,KRW,1318.59
2022-11-14,USD,KRW,1326.99
2022-11-15,USD,KRW,1312.58
2022-11-16,USD,KRW,1323.57
2022-11-17,USD,KRW,1350.96
2022-11-18,USD,KRW,1339.98
2022-11-21,USD,KRW,1361.51
2022-11-22,USD,KRW,1355.54
2022-11-23,USD,KRW,1353.43
2022-11-24,USD,KRW,1327.46
2022-11-25,USD,KRW,1333.2
2022-11-28,USD,KRW,1334.76
2022-11-29,USD,KRW,1327.13
2022-11-30,USD,KRW,1315.67
2022-12-01,USD,KRW,1304.58
2022-12-02,USD,KRW,1296.9
2022-12-05,USD,KRW,1294.86
2022-12-06,USD,KRW,1318.36
2022-12-07,USD,KRW,1320.99
2022-12-08,USD,KRW,1318.62
2022-12-09,USD,KRW,1301.2
2022-12-12,USD,KRW,1304.61
2022-12-13,USD,KRW,1307.49
2022-12-14,USD,KRW,1295.89
2022-12-15,USD,KRW,1312.47
2022-12-16,USD,KRW,1308.69
2022-12-19,USD,KRW,1299.46
2022-12-20,USD,KRW,1286.66
2022-12-21,USD,KRW,1285.85
2022-12-22,USD,KRW,1280.68
2022-12-23,USD,KRW,1279.89
2022-12-27,USD,KRW,1270.57
2022-12-28,USD,KRW,1267.47
2022-12-29,USD,KRW,1267.89
2022-12-30,USD,KRW,1260.16
2023-01-02,USD,KRW,1270.99
2023-01-03,USD,KRW,1276.92
2023-01-04,USD,KRW,1272.71
2023-01-05,USD,KRW,1269.6
2023-01-06,USD,KRW,1273.5
2023-01-09,USD,KRW,1243.8
2023-01-10,USD,KRW,1248.14
2023-01-11,USD,KRW,1247.8
2023-01-12,USD,KRW,1244.12
2023-01-13,USD,KRW,1242.29
2023-01-16,USD,KRW,1239.57
2023-01-17,USD,KRW,1239.05
2023-01-18,USD,KRW,1233.66
2023-01-19,USD,KRW,1239.5
2023-01-20,USD,KRW,1234.5
2023-01-23,USD,KRW,1228.65
2023-01-24,USD,KRW,1235.59
2023-01-25,USD,KRW,1235.46
2023-01-26,USD,KRW,1232.23
2023-01-27,USD,KRW,1234.58
2023-01-30,USD,KRW,1227.98
2023-01-31,USD,KRW,1235.95
2023-02-01,USD,KRW,1229.32
2023-02-02,USD,KRW,1224.88
2023-02-03,USD,KRW,1230.84
2023-02-06,USD,KRW,1256.17
2023-02-07,USD,KRW,1260.57
2023-02-08,USD,KRW,1258.87
2023-02-09,USD,KRW,1258.36
2023-02-10,USD,KRW,1266.7
2023-02-13,USD,KRW,1276.49
2023-02-14,USD,KRW,1266.47
2023-02-15,USD,KRW,1284.43
2023-02-16,USD,KRW,1286.47
2023-02-17,USD,KRW,1301.95
2023-02-20,USD,KRW,1296.96
2023-02-21,USD,KRW,1300.67
2023-02-22,USD,KRW,1303.07
2023-02-23,USD,KRW,1296.71
2023-02-24,USD,KRW,1312.37
2023-02-27,USD,KRW,1322.72
2023-02-28,USD,KRW,1320.12
2023-03-01,USD,KRW,1300.1
2023-03-02,USD,KRW,1312.83
2023-03-03,USD,KRW,1303.1
